step,t_s,segment,status,traj_t,left_error_m,right_error_m,left_speed_mps,right_speed_mps,left_target_x_m,left_target_y_m,left_target_z_m,left_actual_x_m,left_actual_y_m,left_actual_z_m,right_target_x_m,right_target_y_m,right_target_z_m,right_actual_x_m,right_actual_y_m,right_actual_z_m,tau_00_nm,tau_01_nm,tau_02_nm,tau_03_nm,tau_04_nm,tau_05_nm,tau_06_nm,tau_07_nm,tau_08_nm,tau_09_nm,tau_10_nm,tau_11_nm,tau_12_nm,tau_13_nm,q_00_rad,q_01_rad,q_02_rad,q_03_rad,q_04_rad,q_05_rad,q_06_rad,q_07_rad,q_08_rad,q_09_rad,q_10_rad,q_11_rad,q_12_rad,q_13_rad,qd_00_rad_s,qd_01_rad_s,qd_02_rad_s,qd_03_rad_s,qd_04_rad_s,qd_05_rad_s,qd_06_rad_s,qd_07_rad_s,qd_08_rad_s,qd_09_rad_s,qd_10_rad_s,qd_11_rad_s,qd_12_rad_s,qd_13_rad_s
200,0.200000,home_hold,0,0.201000,0.000005237,0.000005716,0.010225075,0.010702018,0.071867500,0.215360776,0.012730000,0.071868888,0.215355804,0.012729120,0.163132424,-0.212337808,0.022708944,0.163134204,-0.212332403,0.022708411,0.434402161,0.051813098,0.032916106,-0.137155202,0.033891342,0.050204858,0.002516561,0.375316962,-0.093191271,-0.040828543,0.652410727,-0.022803546,-0.055229219,-0.026392716,-0.000001128,-0.000022864,-0.000403500,0.000001840,0.000486713,0.000115945,0.000001371,-0.000001602,-0.000005798,0.000096561,0.300001901,-0.000157849,-0.000128602,-0.000013279,0.000285482,-0.048101072,-0.840614945,0.008575130,1.006508509,0.235750215,-0.000153765,0.000359410,-0.008812300,0.187661196,-0.002912677,-0.308682340,-0.260626250,-0.028960441
210,0.210000,home_hold,0,0.211000,0.000005234,0.000005705,0.010225082,0.010702046,0.071867500,0.215360776,0.012730000,0.071868887,0.215355807,0.012729120,0.163132424,-0.212337808,0.022708944,0.163134203,-0.212332413,0.022708417,0.434402031,0.051813016,0.032916106,-0.137155347,0.033891346,0.050204830,0.002516554,0.375316708,-0.093191020,-0.040828536,0.652410881,-0.022803543,-0.055229197,-0.026392713,-0.000001182,-0.000022872,-0.000403487,0.000001724,0.000486691,0.000115973,0.000001450,-0.000001696,-0.000005770,0.000096562,0.300002080,-0.000157834,-0.000128667,-0.000013208,0.000285468,-0.048101085,-0.840614958,0.008575132,1.006508553,0.235749973,-0.000153808,0.000359424,-0.008812376,0.187660917,-0.002912700,-0.308682101,-0.260626002,-0.028960422
220,0.220000,home_hold,0,0.221000,0.000005231,0.000005695,0.010225090,0.010702072,0.071867500,0.215360776,0.012730000,0.071868885,0.215355809,0.012729119,0.163132424,-0.212337808,0.022708944,0.163134203,-0.212332423,0.022708423,0.434401897,0.051812949,0.032916106,-0.137155490,0.033891349,0.050204802,0.002516547,0.375316455,-0.093190824,-0.040828536,0.652411035,-0.022803541,-0.055229176,-0.026392710,-0.000001235,-0.000022881,-0.000403473,0.000001609,0.000486669,0.000116002,0.000001528,-0.000001789,-0.000005742,0.000096564,0.300002258,-0.000157819,-0.000128730,-0.000013138,0.000285454,-0.048101098,-0.840614971,0.008575133,1.006508597,0.235749732,-0.000153851,0.000359439,-0.008812450,0.187660637,-0.002912722,-0.308681861,-0.260625759,-0.028960404
230,0.230000,home_hold,0,0.231000,0.000005228,0.000005686,0.010225097,0.010702098,0.071867500,0.215360776,0.012730000,0.071868884,0.215355812,0.012729119,0.163132424,-0.212337808,0.022708944,0.163134203,-0.212332433,0.022708429,0.434401761,0.051812884,0.032916105,-0.137155632,0.033891352,0.050204774,0.002516540,0.375316202,-0.093190649,-0.040828537,0.652411189,-0.022803539,-0.055229155,-0.026392708,-0.000001289,-0.000022889,-0.000403460,0.000001493,0.000486648,0.000116029,0.000001606,-0.000001882,-0.000005715,0.000096565,0.300002436,-0.000157804,-0.000128792,-0.000013067,0.000285440,-0.048101112,-0.840614983,0.008575135,1.006508640,0.235749491,-0.000153893,0.000359453,-0.008812521,0.187660358,-0.002912744,-0.308681620,-0.260625518,-0.028960387
240,0.240000,home_hold,0,0.241000,0.000005225,0.000005676,0.010225104,0.010702123,0.071867500,0.215360776,0.012730000,0.071868882,0.215355815,0.012729119,0.163132424,-0.212337808,0.022708944,0.163134202,-0.212332442,0.022708435,0.434401625,0.051812814,0.032916105,-0.137155775,0.033891356,0.050204746,0.002516533,0.375315951,-0.093190478,-0.040828538,0.652411343,-0.022803536,-0.055229135,-0.026392705,-0.000001342,-0.000022897,-0.000403446,0.000001378,0.000486627,0.000116056,0.000001684,-0.000001975,-0.000005689,0.000096567,0.300002614,-0.000157790,-0.000128853,-0.000012996,0.000285426,-0.048101126,-0.840614996,0.008575137,1.006508683,0.235749251,-0.000153934,0.000359468,-0.008812591,0.187660079,-0.002912767,-0.308681378,-0.260625279,-0.028960370
250,0.250000,home_hold,0,0.251000,0.000005222,0.000005667,0.010225111,0.010702148,0.071867500,0.215360776,0.012730000,0.071868881,0.215355817,0.012729119,0.163132424,-0.212337808,0.022708944,0.163134202,-0.212332451,0.022708441,0.434401488,0.051812741,0.032916105,-0.137155917,0.033891359,0.050204718,0.002516527,0.375315700,-0.093190305,-0.040828539,0.652411497,-0.022803534,-0.055229114,-0.026392702,-0.000001396,-0.000022905,-0.000403433,0.000001262,0.000486606,0.000116083,0.000001761,-0.000002068,-0.000005663,0.000096568,0.300002792,-0.000157776,-0.000128912,-0.000012924,0.000285413,-0.048101140,-0.840615009,0.008575138,1.006508726,0.235749012,-0.000153974,0.000359482,-0.008812660,0.187659800,-0.002912789,-0.308681137,-0.260625043,-0.028960353
260,0.260000,home_hold,0,0.261000,0.000005220,0.000005658,0.010225118,0.010702171,0.071867500,0.215360776,0.012730000,0.071868879,0.215355820,0.012729118,0.163132424,-0.212337808,0.022708944,0.163134201,-0.212332459,0.022708447,0.434401351,0.051812666,0.032916105,-0.137156059,0.033891363,0.050204690,0.002516520,0.375315449,-0.093190130,-0.040828539,0.652411651,-0.022803531,-0.055229094,-0.026392699,-0.000001450,-0.000022912,-0.000403420,0.000001147,0.000486585,0.000116108,0.000001838,-0.000002160,-0.000005639,0.000096570,0.300002969,-0.000157763,-0.000128970,-0.000012853,0.000285400,-0.048101154,-0.840615021,0.008575140,1.006508769,0.235748775,-0.000154014,0.000359496,-0.008812727,0.187659523,-0.002912811,-0.308680896,-0.260624810,-0.028960336
270,0.270000,home_hold,0,0.271000,0.000005217,0.000005650,0.010225124,0.010702194,0.071867500,0.215360776,0.012730000,0.071868878,0.215355822,0.012729118,0.163132424,-0.212337808,0.022708944,0.163134201,-0.212332468,0.022708453,0.434401213,0.051812592,0.032916105,-0.137156201,0.033891366,0.050204662,0.002516514,0.375315199,-0.093189956,-0.040828539,0.652411805,-0.022803529,-0.055229074,-0.026392697,-0.000001504,-0.000022920,-0.000403406,0.000001031,0.000486564,0.000116134,0.000001914,-0.000002253,-0.000005614,0.000096571,0.300003146,-0.000157750,-0.000129027,-0.000012781,0.000285388,-0.048101170,-0.840615034,0.008575141,1.006508811,0.235748539,-0.000154053,0.000359511,-0.008812791,0.187659246,-0.002912834,-0.308680654,-0.260624580,-0.028960320
280,0.280000,home_hold,0,0.281000,0.000005215,0.000005641,0.010225131,0.010702217,0.071867500,0.215360776,0.012730000,0.071868877,0.215355824,0.012729118,0.163132424,-0.212337808,0.022708944,0.163134201,-0.212332476,0.022708459,0.434401075,0.051812520,0.032916105,-0.137156342,0.033891370,0.050204634,0.002516507,0.375314950,-0.093189784,-0.040828539,0.652411958,-0.022803527,-0.055229054,-0.026392694,-0.000001559,-0.000022927,-0.000403393,0.000000916,0.000486544,0.000116158,0.000001990,-0.000002345,-0.000005591,0.000096572,0.300003323,-0.000157737,-0.000129083,-0.000012709,0.000285376,-0.048101186,-0.840615046,0.008575143,1.006508853,0.235748304,-0.000154091,0.000359525,-0.008812854,0.187658969,-0.002912856,-0.308680412,-0.260624353,-0.028960304
290,0.290000,home_hold,0,0.291000,0.000005212,0.000005633,0.010225136,0.010702238,0.071867500,0.215360776,0.012730000,0.071868876,0.215355826,0.012729118,0.163132424,-0.212337808,0.022708944,0.163134200,-0.212332484,0.022708465,0.434400935,0.051812449,0.032916105,-0.137156484,0.033891373,0.050204606,0.002516501,0.375314700,-0.093189618,-0.040828540,0.652412111,-0.022803524,-0.055229034,-0.026392692,-0.000001613,-0.000022934,-0.000403380,0.000000800,0.000486524,0.000116183,0.000002066,-0.000002438,-0.000005568,0.000096574,0.300003500,-0.000157724,-0.000129137,-0.000012637,0.000285364,-0.048101202,-0.840615059,0.008575144,1.006508895,0.235748071,-0.000154128,0.000359539,-0.008812915,0.187658693,-0.002912878,-0.308680169,-0.260624129,-0.028960289
